# Program:featureCounts v2.0.3; Command:"featureCounts" "-s" "2" "-a" "./genome/chr1-hg19_genes.gtf" "-o" "./results/RNA_seq_featurecounts.txt" "./results/Irrel_kd_1_Aligned.sortedByCoord.out.bam" "./results/Irrel_kd_2_Aligned.sortedByCoord.out.bam" "./results/Irrel_kd_3_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_1_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_2_Aligned.sortedByCoord.out.bam" "./results/Mov10_oe_3_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./results/Irrel_kd_1_Aligned.sortedByCoord.out.bam	./results/Irrel_kd_2_Aligned.sortedByCoord.out.bam	./results/Irrel_kd_3_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_1_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_2_Aligned.sortedByCoord.out.bam	./results/Mov10_oe_3_Aligned.sortedByCoord.out.bam
HES4	chr1;chr1;chr1;chr1;chr1;chr1;chr1	934342;934344;934906;934906;935072;935072;935246	934812;934812;934993;934993;935167;935552;935552	-;-;-;-;-;-;-	1040	0	0	0	0	0	1
ISG15	chr1;chr1	948847;949364	948956;949919	+;+	666	0	1	0	0	0	0
AGRN	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	955503;957581;970657;976045;976553;976858;977336;978619;978918;979203;979489;979714;980541;980739;981113;981344;981540;981777;982200;982707;982953;983156;983392;984247;984616;984946;985283;985613;985807;986106;986633;986833;987108;989133;989828;990204	955753;957842;970704;976260;976777;977082;977542;978837;979112;979403;979637;979819;980657;980903;981256;981468;981645;982115;982337;982834;983067;983275;983745;984439;984831;985175;985417;985709;985971;986217;986749;987025;987195;989357;989931;991492	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7319	0	1	1	0	0	0
RNF223	chr1;chr1	1007126;1009396	1007955;1009687	-;-	1122	0	0	0	0	0	0
C1orf159	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1017198;1019733;1019861;1021258;1022519;1022882;1025733;1026852;1027371;1051440	1018367;1019763;1019886;1021392;1022584;1022977;1025808;1026945;1027483;1051736	-;-;-;-;-;-;-;-;-;-	2104	0	0	0	0	0	0
LOC254099	chr1;chr1;chr1	1072397;1076205;1078119	1072490;1076412;1079434	+;+;+	1618	0	0	0	0	0	0
MIR200B	chr1	1102484	1102578	+	95	0	0	0	0	0	0
MIR200A	chr1	1103243	1103332	+	90	0	0	0	0	0	0
MIR429	chr1	1104385	1104467	+	83	0	0	0	0	0	0
TTLL10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1109286;1109665;1109804;1114569;1115037;1115077;1115414;1115414;1115863;1115863;1116111;1116111;1117121;1117121;1117741;1117741;1118256;1118256;1119300;1119300;1120349;1120349;1131980;1132473;1132818	1109306;1109701;1109869;1114713;1115117;1115233;1115720;1115720;1115981;1115981;1116240;1116240;1117195;1117195;1117826;1117826;1118427;1118427;1119471;1119471;1120489;1121243;1132096;1132566;1133313	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3129	0	0	0	0	0	0
TNFRSF18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1138888;1138888;1138888;1139414;1139435;1139779;1139779;1139779;1140750;1140750;1140750;1141765;1141765;1141765	1139348;1139340;1139348;1139616;1139616;1139866;1139866;1139866;1140872;1140872;1140872;1142089;1142089;1142089	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1200	0	0	0	0	0	0
TNFRSF4	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1146706;1147084;1147322;1148018;1148372;1149043;1149363	1147005;1147212;1147518;1148084;1148473;1149165;1149548	-;-;-;-;-;-;-	1104	0	0	0	0	0	0
SDF4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1152288;1152288;1153838;1153838;1154149;1154149;1158624;1158624;1159212;1159212;1163848;1163848;1167272;1167272	1153068;1153184;1154013;1154013;1154307;1154307;1158737;1158737;1159348;1159348;1164326;1164326;1167447;1167447	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2138	1	1	2	1	0	0
B3GALT6	chr1	1167629	1170420	+	2792	0	0	0	0	0	0
FAM132A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1177833;1178215;1178442;1178824;1179334;1179571;1179761;1181894	1178026;1178293;1178532;1178932;1179485;1179655;1179877;1182102	-;-;-;-;-;-;-;-	1036	0	0	0	0	0	0
UBE2J2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1189292;1189292;1189292;1189292;1191425;1191425;1191425;1191425;1192372;1192372;1192372;1192372;1192588;1192588;1192588;1192588;1198726;1198726;1198726;1198726;1200163;1203113;1203242;1203242;1209046;1209046;1209046;1209046	1190867;1190867;1190867;1190867;1191505;1191505;1191505;1191505;1192510;1192510;1192510;1192510;1192690;1192690;1192690;1192690;1198766;1198766;1198766;1198766;1200210;1203372;1203372;1203372;1209234;1209234;1209234;1209234	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2437	0	0	0	0	1	0
SCNN1D	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1215816;1215816;1216606;1216606;1216791;1216791;1217622;1217622;1219358;1219358;1220951;1221306;1221306;1222148;1222148;1222489;1222489;1222888;1222888;1223053;1223053;1223319;1223319;1225651;1225651;1225857;1225857;1226017;1226017;1226275;1226275;1226445;1226445;1226634;1226634	1216046;1216046;1216677;1216677;1216990;1216990;1217695;1217695;1219470;1219470;1221044;1221658;1221658;1222355;1222355;1222679;1222679;1222976;1222976;1223216;1223216;1223417;1223417;1225768;1225768;1225935;1225935;1226074;1226074;1226333;1226333;1226520;1226520;1227409;1227409	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3054	0	0	1	0	0	0
ACAP3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1227764;1229203;1229470;1229782;1230098;1230827;1231116;1231395;1231591;1231805;1233202;1233393;1233750;1233947;1234725;1235211;1235353;1235538;1235889;1237368;1238302;1238542;1239466;1243149	1229088;1229313;1229579;1230008;1230196;1230934;1231318;1231489;1231660;1232013;1233313;1233493;1233801;1234059;1234736;1235285;1235448;1235582;1236072;1237426;1238355;1238661;1239523;1243269	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3759	1	0	0	0	1	2
PUSL1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1243994;1244295;1244466;1244834;1245061;1246014;1246289;1246710	1244100;1244352;1244653;1244983;1245231;1246068;1246451;1247057	+;+;+;+;+;+;+;+	1240	0	0	1	0	0	0
CPSF3L	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1246965;1247398;1247606;1247820;1247973;1248167;1248415;1248889;1249112;1249681;1250204;1250784;1250900;1254676;1255836;1256376;1259961	1247304;1247527;1247748;1247881;1248080;1248329;1248504;1248972;1249301;1249745;1250342;1250818;1250998;1254904;1255909;1256473;1260046	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2135	1	1	0	0	2	0
GLTPD1	chr1;chr1;chr1	1260143;1262216;1262621	1260482;1262412;1264276	+;+;+	2193	0	0	0	0	0	0
TAS1R3	chr1;chr1;chr1;chr1;chr1;chr1	1266726;1267018;1267404;1268301;1268639;1268886	1266916;1267318;1268186;1268504;1268759;1269844	+;+;+;+;+;+	2559	0	0	0	0	0	0
DVL1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1270658;1273357;1273649;1273902;1274742;1274962;1275116;1275418;1275627;1275790;1277047;1277433;1277743;1278069;1284276	1271895;1273563;1273816;1274033;1274819;1275029;1275192;1275557;1275696;1275883;1277185;1277536;1277864;1278138;1284492	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2924	0	0	1	0	0	0
MXRA8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1288071;1289228;1289410;1289573;1289734;1290062;1290624;1290830;1292061;1293836	1289009;1289308;1289486;1289612;1289889;1290532;1290725;1291132;1292084;1293915	-;-;-;-;-;-;-;-;-;-	2273	0	0	0	0	0	0
AURKAIP1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1309110;1309110;1309111;1309380;1309380;1309380;1310085;1310085;1310085;1310377;1310455;1310534	1309282;1309282;1309282;1309825;1309825;1309825;1310170;1310170;1310170;1310580;1310562;1310818	-;-;-;-;-;-;-;-;-;-;-;-	1147	0	2	1	0	3	0
CCNL2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1321091;1323157;1323334;1325610;1325839;1326146;1327668;1328776;1328776;1330774;1330774;1333613;1333613;1333977;1333977;1334399;1334399	1322962;1323249;1323445;1325751;1325943;1326245;1328183;1328840;1328840;1330894;1330894;1333722;1333722;1334051;1334051;1334718;1334718	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3631	3	3	1	0	2	2
LOC148413	chr1;chr1;chr1	1334910;1335538;1335985	1335069;1335683;1337426	+;+;+	1748	0	0	1	0	0	0
MRPL20	chr1;chr1;chr1;chr1	1337276;1341189;1342289;1342511	1337636;1341266;1342399;1342693	-;-;-;-	733	0	0	0	0	1	1
LOC441869	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1353800;1353800;1355432;1356177;1356177;1356513;1356513	1354929;1354929;1355972;1356385;1356385;1356650;1356650	-;-;-;-;-;-;-	2018	0	0	0	0	0	0
TMEM88B	chr1;chr1	1361508;1362934	1361765;1363167	+;+	492	0	0	0	0	0	0
VWA1	chr1;chr1;chr1;chr1;chr1;chr1	1370903;1370903;1372307;1372702;1374461;1374461	1371201;1371201;1372864;1372864;1378262;1378262	+;+;+;+;+;+	4659	0	0	0	1	0	0
ATAD3C	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1385069;1387426;1387745;1389725;1390840;1391171;1391605;1392509;1394541;1396130;1397980;1403764	1386138;1387502;1387814;1389880;1390899;1391296;1391729;1392560;1394611;1396297;1398088;1405538	+;+;+;+;+;+;+;+;+;+;+;+	3859	0	0	0	0	0	0
ATAD3B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1407164;1412654;1414024;1414429;1416247;1417518;1417925;1420396;1421162;1421490;1421924;1423243;1424584;1425637;1425943;1430865	1407469;1412730;1414125;1414488;1416316;1417683;1417994;1420551;1421218;1421615;1422048;1423294;1424654;1425804;1426051;1431582	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2433	1	0	1	0	1	0
ATAD3A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1447523;1447523;1447910;1451392;1451392;1451392;1452547;1452691;1452691;1453096;1453096;1453096;1454301;1454301;1454301;1455521;1455521;1455521;1455928;1455928;1455928;1458124;1458124;1458124;1458891;1458891;1458891;1459219;1459219;1459219;1459653;1459653;1459653;1460620;1460620;1460620;1461841;1461841;1461841;1463075;1463075;1463075;1464603;1464603;1464603;1469306;1469306;1469306	1447853;1447853;1448070;1451468;1451468;1451468;1452792;1452792;1452792;1453155;1453155;1453155;1454370;1454370;1454370;1455686;1455686;1455686;1455997;1455997;1455997;1458279;1458279;1458279;1458947;1458947;1458947;1459344;1459344;1459344;1459777;1459777;1459777;1460671;1460671;1460671;1461911;1461911;1461911;1463242;1463242;1463242;1464711;1464711;1464711;1470067;1470067;1470067	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2807	0	0	2	0	0	1
C1orf70	chr1;chr1;chr1;chr1	1470158;1470969;1475064;1475670	1470887;1471177;1475170;1475740	-;-;-;-	1117	0	0	0	0	0	0
SSU72	chr1;chr1;chr1;chr1;chr1	1477053;1479249;1480243;1500153;1509858	1477547;1479367;1480382;1500296;1510262	-;-;-;-;-	1303	0	0	0	1	1	1
LOC643988	chr1	1533388	1535476	-	2089	0	0	0	0	0	0
MIB2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1550795;1550795;1550795;1550795;1550795;1551245;1551888;1551888;1551888;1551888;1551888;1551888;1558769;1558769;1558769;1558769;1558811;1558811;1559154;1559154;1559154;1559154;1559154;1559154;1560175;1560175;1560175;1560175;1560175;1560175;1560371;1560371;1560371;1560371;1560666;1560666;1560666;1560666;1560666;1560666;1560926;1560926;1560926;1560926;1560926;1560938;1562030;1562030;1562030;1562030;1562030;1562030;1562217;1562217;1562217;1562217;1562217;1562217;1562454;1562454;1562454;1562454;1562454;1562454;1562676;1562676;1562676;1562676;1562676;1562676;1563053;1563053;1563053;1563053;1563053;1563053;1563399;1563399;1563399;1563399;1563399;1563399;1563653;1563653;1563653;1563653;1563653;1563653;1563869;1563869;1563869;1563869;1563869;1563869;1564513;1564513;1564513;1564513;1564513;1564513;1564765;1564765;1564765;1564765;1564765;1565019;1565019;1565019;1565019;1565019;1565019;1565672;1565672;1565672;1565672;1565672;1565672	1551013;1551013;1551013;1551013;1551013;1551480;1551994;1551994;1551994;1551994;1551994;1551994;1558862;1559079;1559079;1559079;1559079;1559079;1559325;1559325;1559325;1559325;1559325;1559325;1560281;1560281;1560281;1560281;1560281;1560281;1560565;1560565;1560565;1560565;1560808;1560808;1560808;1560808;1560808;1560808;1561033;1561033;1561033;1561033;1561033;1561033;1562134;1562134;1562134;1562134;1562134;1562134;1562379;1562379;1562379;1562379;1562379;1562379;1562587;1562587;1562587;1562587;1562587;1562587;1562824;1562824;1562824;1562824;1562824;1562824;1563209;1563209;1563209;1563209;1563209;1563209;1563559;1563559;1563559;1563559;1563559;1563559;1563779;1563779;1563779;1563779;1563779;1563779;1564102;1564102;1564102;1564102;1564102;1564102;1564691;1564691;1564691;1564691;1564691;1564691;1564946;1564946;1564946;1564946;1564946;1565084;1565084;1565084;1565084;1565084;1565084;1565990;1565990;1565990;1565990;1565990;1565990	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3574	0	0	0	0	0	1
MMP23B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1567560;1568162;1568360;1568567;1569127;1569368;1569581;1569827	1567753;1568292;1568499;1568734;1569291;1569478;1569707;1570030	+;+;+;+;+;+;+;+	1240	0	0	0	0	0	0
MMP23A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1568159;1568567;1569127;1569368;1569581;1569827;1631378;1631786;1632346;1632587;1632800;1633047	1568292;1568734;1569291;1569478;1569707;1570027;1631511;1631953;1632510;1632697;1632926;1633247	+;+;+;+;+;+;+;+;+;+;+;+	1812	0	0	0	0	0	0
CDK11B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1571100;1571100;1571100;1571100;1571100;1571100;1571299;1571299;1571299;1571299;1571299;1571299;1571695;1571695;1571695;1571695;1571695;1571695;1572044;1572044;1572044;1572044;1572044;1572044;1572259;1572259;1572259;1572259;1572259;1572259;1572443;1572443;1572443;1572443;1572443;1572443;1572770;1572770;1572770;1572770;1572770;1572770;1573124;1573124;1573124;1573124;1573124;1573124;1573862;1573862;1573862;1573862;1573862;1573862;1575638;1575638;1575638;1575638;1575638;1575638;1576409;1576409;1576409;1576409;1576409;1576409;1577023;1577023;1577023;1577023;1577023;1577023;1577267;1577267;1577267;1577267;1577267;1577267;1577747;1577747;1577747;1577747;1577747;1643703;1643703;1643703;1643703;1643703;1647785;1647785;1647785;1647785;1647785;1647785;1650767;1650767;1650767;1650798;1650798;1650798;1653035;1653035;1653035;1653035;1653035;1653035;1654027;1654027;1654147;1654147;1654147;1654147;1654147;1654147;1655706;1655706;1655706;1655706;1655706;1655706	1571218;1571218;1571218;1571218;1571218;1571218;1571488;1571488;1571488;1571488;1571488;1571488;1571843;1571843;1571843;1571843;1571843;1571843;1572160;1572160;1572160;1572160;1572160;1572160;1572366;1572366;1572366;1572366;1572366;1572366;1572564;1572564;1572564;1572564;1572564;1572564;1572875;1572875;1572875;1572875;1572875;1572875;1573245;1573245;1573245;1573245;1573245;1573245;1573952;1573952;1573952;1573952;1573952;1573952;1575813;1575813;1575813;1575813;1575813;1575813;1576474;1576474;1576474;1576474;1576474;1576474;1577181;1577181;1577181;1577181;1577181;1577181;1577362;1577362;1577362;1577362;1577362;1577362;1577869;1577869;1577869;1577869;1577869;1643839;1643839;1643839;1643839;1643866;1647915;1647915;1647917;1647917;1647917;1647915;1650894;1650894;1650894;1650894;1650894;1650894;1653150;1653150;1653150;1653150;1653150;1653150;1654073;1654073;1654271;1654271;1654271;1654271;1654271;1654271;1655775;1655775;1655775;1655775;1655775;1655775	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2527	1	0	0	0	1	1
SLC35E2B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1592939;1599766;1601103;1601537;1602948;1606902;1607503;1607817;1623888	1597458;1599911;1601175;1601590;1603068;1607029;1607638;1608285;1624243	-;-;-;-;-;-;-;-;-	6003	1	0	0	0	0	0
